,pigID,weight,backFat,farm,dayInseminated,birthingDate,aliveBooelan,sowNumber,sowParity,initialAge,growth_constant,earning,liveWeight
1915,1916.0,91.07204428814374,11.716123873577724,1.0,29.0,144.0,1.0,12.0,3.0,40.0,0.018657291323549048,13660.806643221562,120.78520462618533
5762,5763.0,91.07049976480816,11.715942752827987,2.0,85.0,201.0,1.0,36.0,1.0,0.0,0.018657104754613015,13660.574964721225,120.78315618674823
4515,4516.0,91.07037905327412,11.715928597416381,1.0,71.0,183.0,1.0,2.0,0.0,1.0,0.01865709017340259,13660.556857991118,120.78299609187549
11129,11130.0,91.06986678590552,11.715868525646838,2.0,169.0,286.0,1.0,33.0,0.0,0.0,0.01865702829465989,13660.480017885828,120.78231669218238
8083,8084.0,91.06960063787822,11.715837315415737,3.0,113.0,225.0,1.0,84.0,7.0,0.0,0.018656996145619397,13660.440095681734,120.78196371071382
2596,2597.0,91.06914396688116,11.715783763234642,3.0,29.0,144.0,1.0,80.0,6.0,40.0,0.018656940982581888,13660.371595032173,120.78135804626147
9717,9718.0,91.06700487962348,11.715532920091686,3.0,141.0,256.0,1.0,69.0,2.0,0.0,0.018656682594093532,13660.050731943522,120.7785210605086
7860,7861.0,91.06625609873858,11.715445113224584,3.0,113.0,231.0,1.0,62.0,0.0,0.0,0.01865659214602033,13659.938414810787,120.77752798241191
8824,8825.0,91.0662406559864,11.715443302308046,3.0,127.0,241.0,1.0,69.0,2.0,0.0,0.01865659028063203,13659.93609839796,120.77750750130822
4908,4909.0,91.06561218950085,11.715369604281976,2.0,71.0,186.0,1.0,41.0,3.0,0.0,0.018656514365797527,13659.841828425127,120.77667399138043
6844,6845.0,91.06533418397602,11.715337003564377,2.0,99.0,216.0,1.0,51.0,6.0,0.0,0.01865648078446499,13659.800127596403,120.77630528378782
9844,9845.0,91.06508879963762,11.71530822821711,3.0,141.0,256.0,1.0,82.0,7.0,0.0,0.018656451143569314,13659.763319945643,120.7759798403682
7824,7825.0,91.06477132973109,11.715270999652045,2.0,113.0,228.0,1.0,59.0,9.0,0.0,0.018656412795188718,13659.715699459663,120.77555879274679
7675,7676.0,91.06443832727457,11.715231949640176,2.0,113.0,230.0,1.0,44.0,4.0,0.0,0.01865637257057503,13659.665749091186,120.77511714492648
3222,3223.0,91.06407820018423,11.715189718819117,2.0,43.0,155.0,1.0,53.0,7.0,29.0,0.0186563290694774,13659.611730027635,120.77463952279075
5101,5102.0,91.06401863430656,11.715182733740827,2.0,71.0,187.0,1.0,60.0,9.0,0.0,0.01865632187429256,13659.602795145984,120.77456052295301
9314,9315.0,91.0636651361256,11.71514128026836,1.0,141.0,254.0,1.0,28.0,9.0,0.0,0.018656279173928213,13659.549770418842,120.77409169247429
8412,8413.0,91.06345576535458,11.715116728103851,1.0,127.0,242.0,1.0,27.0,8.0,0.0,0.018656253883252535,13659.518364803187,120.77381401240659
5901,5902.0,91.06299390565269,11.715062567461825,2.0,85.0,199.0,1.0,48.0,5.0,0.0,0.01865619809350064,13659.449085847904,120.77320146638287
8784,8785.0,91.06268407786175,11.715026235060433,3.0,127.0,242.0,1.0,65.0,1.0,0.0,0.018656160668251008,13659.402611679261,120.77279055419329
2617,2618.0,91.06244799416753,11.714998550366579,3.0,29.0,145.0,1.0,82.0,7.0,39.0,0.01865613215082583,13659.367199125129,120.77247744584552
11692,11693.0,91.06211590592291,11.714959607561081,3.0,169.0,285.0,1.0,90.0,9.0,0.0,0.018656092036656503,13659.317385888437,120.77203701050784
9213,9214.0,91.06171852357332,11.714913007948478,1.0,141.0,257.0,1.0,17.0,5.0,0.0,0.01865604403537283,13659.257778535997,120.77150997821394
10265,10266.0,91.06097770996223,11.714826135375198,2.0,155.0,270.0,1.0,35.0,1.0,0.0,0.01865595454976419,13659.146656494335,120.77052746679341
